Timestamp,Risk Score,Risk Level,Diagnosis,Recommendation,Policy Decision,Payment Status
2026-08-08 10:19:43,0.9004834294319153,High,Low Customer Engagement,Send Personalized Notification,Decision Approved,Pending
2026-08-08 10:19:44,0.9004834294319153,High,Low Customer Engagement,Send Personalized Notification,Decision Approved,Pending
2026-08-08 10:19:49,0.9004834294319153,High,"Cash On Delivery Not Available, Low Customer Engagement",Enable COD or Suggest UPI,Decision Approved,Pending
2026-08-08 10:19:57,0.9004834294319153,High,"Cash On Delivery Not Available, Low Customer Engagement",Enable COD or Suggest UPI,Decision Approved,Pending
2026-08-08 10:19:58,0.9004834294319153,High,"Cash On Delivery Not Available, Low Customer Engagement",Enable COD or Suggest UPI,Decision Approved,Pending
2026-08-08 10:19:58,0.9004834294319153,High,"Cash On Delivery Not Available, Low Customer Engagement",Enable COD or Suggest UPI,Decision Approved,Pending
2026-08-08 10:20:03,0.9004834294319153,High,"Cash On Delivery Not Available, Low Customer Engagement",Enable COD or Suggest UPI,Decision Approved,Pending
2026-08-08 10:20:04,0.9004834294319153,High,"Cash On Delivery Not Available, Low Customer Engagement",Enable COD or Suggest UPI,Decision Approved,Pending
2026-08-08 10:20:04,0.9004834294319153,High,"Cash On Delivery Not Available, Low Customer Engagement",Enable COD or Suggest UPI,Decision Approved,Pending
2026-08-08 10:20:04,0.9004834294319153,High,"Cash On Delivery Not Available, Low Customer Engagement",Enable COD or Suggest UPI,Decision Approved,Pending
2026-08-08 10:20:08,0.9004834294319153,High,"Cash On Delivery Not Available, Low Customer Engagement",Enable COD or Suggest UPI,Decision Approved,Pending
2026-08-08 10:20:08,0.9004834294319153,High,"Cash On Delivery Not Available, Low Customer Engagement",Enable COD or Suggest UPI,Decision Approved,Pending
2026-08-08 10:20:14,0.9004834294319153,High,"Cash On Delivery Not Available, Low Customer Engagement",Enable COD or Suggest UPI,Decision Approved,Pending
2026-08-08 10:20:34,0.1152430474758148,Low,Price Comparison,Proceed To Checkout,Decision Approved,Success
2026-08-08 10:26:46,0.1152430474758148,Low,Price Comparison,Proceed To Checkout,Decision Approved,Pending
2026-08-08 10:26:51,0.1152430474758148,Low,Price Comparison,Proceed To Checkout,Decision Approved,Pending
2026-08-08 10:26:52,0.1152430474758148,Low,Price Comparison,Proceed To Checkout,Decision Approved,Pending
2026-08-08 10:26:55,0.4053591191768646,Medium,Price Comparison,Offer 5% Coupon,Decision Approved,Success
2026-08-08 10:27:18,0.4053591191768646,Medium,Price Comparison,Offer 5% Coupon,Decision Approved,Pending
2026-08-08 10:27:19,0.4053591191768646,Medium,Price Comparison,Offer 5% Coupon,Decision Approved,Pending
2026-08-08 10:27:23,0.1152430474758148,Low,Price Comparison,Proceed To Checkout,Decision Approved,Success
